Wetland Type;Season;Sampling point;Depth;Humidity;pH;Eh;Csoil;N;P;K;Total iron;Mn;Nitrate;Sulfate;CandidatusNitrososphaera;Methanobacterium;Methanocella;Methanomassiliicoccus;Methermicoccus;Nitrosotalea;Unclassified;Pedosphaerae;Saprospirae;Spartobacteria;Acidobacteria;Acidobacteriia;Actinobacteria;Alphaproteobacteria;Anaerolineae;Bacilli;Bacteroidia;Betaproteobacteria;Clostridia;DA052;Deltaproteobacteria;Ellin6529;Flavobacteriia;Gammaproteobacteria;Gemmatimonadetes;Ktedonobacteria;MB-A2-108;Nitrospira;Planctomycetia;SJA-176;Solibacteres;Thermoleophilia;TK10;TK17;Zetaproteobacteria
Seasonal;Dry;P2;0-10;32,58;5,65;325,5;2,3;2282;40,2;6126,97;55,78;18,4;4,69;11,95;0,008;0,012;0,425;0,025;0,000;0,023;0,506;0,012;0,009;0,008;0,038;0,048;0,123;0,244;0,004;0,032;0,001;0,033;0,011;0,003;0,056;0,007;0,005;0,026;0,005;0,029;0,003;0,006;0,007;0,000;0,038;0,060;0,011;0,003;0,015
Seasonal;Dry;P3;0-10;27,46;4,84;364;2,01;2254;23,3;1720,4;55,25;9,2;2,6;27,75;0,040;0,026;0,301;0,014;0,000;0,002;0,615;0,024;0,004;0,006;0,010;0,051;0,090;0,194;0,005;0,015;0,001;0,015;0,011;0,004;0,040;0,003;0,001;0,019;0,001;0,258;0,000;0,004;0,001;0,002;0,040;0,034;0,019;0,003;0,006
Permanent;Rainy;P1;10-20;40,69;5,2;231,5;2,28;1897;16,05;1755,59;9,76;5,3;0;11,65;0,000;0,006;0,777;0,009;0,009;0,005;0,195;0,011;0,001;0,014;0,013;0,108;0,131;0,320;0,001;0,037;0,000;0,012;0,005;0,024;0,025;0,001;0,000;0,019;0,003;0,050;0,000;0,002;0,005;0,000;0,039;0,046;0,011;0,002;0,006
Permanent;Rainy;P2;10-20;49,13;5,82;217;5,08;4235;19,35;1571,82;25;7,7;0;11,75;0,000;0,008;0,650;0,008;0,010;0,014;0,309;0,023;0,007;0,005;0,007;0,046;0,160;0,304;0,001;0,043;0,001;0,025;0,012;0,014;0,026;0,001;0,002;0,033;0,003;0,064;0,000;0,001;0,002;0,000;0,037;0,061;0,008;0,004;0,002
Permanent;Rainy;P3;10-20;42,4;5,86;244,5;1,17;1043;11,45;864,11;17,01;10,35;0;10,2;0,016;0,044;0,193;0,032;0,006;0,091;0,619;0,008;0,019;0,005;0,011;0,033;0,096;0,414;0,001;0,045;0,002;0,033;0,022;0,009;0,032;0,001;0,002;0,059;0,002;0,020;0,000;0,002;0,001;0,000;0,023;0,033;0,011;0,003;0,001
Permanent;Dry;P1;10-20;36,25;5,2;294,5;2,09;2103,5;11,05;1104,575;12,5;8,2;0;13,75;0,000;0,013;0,548;0,032;0,017;0,028;0,362;0,017;0,009;0,004;0,013;0,050;0,131;0,323;0,001;0,042;0,001;0,023;0,015;0,017;0,026;0,002;0,002;0,039;0,004;0,067;0,000;0,001;0,008;0,001;0,029;0,038;0,009;0,004;0,001
Permanent;Dry;P2;10-20;41,75;5,69;186,5;3,75;3853,5;13,45;1073,295;18,8;12;0;15,9;0,000;0,007;0,554;0,043;0,029;0,026;0,341;0,024;0,008;0,004;0,009;0,053;0,142;0,308;0,000;0,046;0,001;0,021;0,016;0,011;0,023;0,002;0,002;0,035;0,005;0,091;0,000;0,001;0,007;0,002;0,026;0,042;0,007;0,003;0,001
Permanent;Dry;P3;10-20;51,01;5,07;265,5;2,49;2579,5;8,8;1239,47;22,17;3,5;0;13,2;0,000;0,019;0,542;0,021;0,004;0,031;0,383;0,010;0,010;0,003;0,016;0,048;0,121;0,338;0,001;0,038;0,001;0,025;0,014;0,023;0,030;0,002;0,001;0,044;0,002;0,043;0,000;0,002;0,009;0,001;0,031;0,034;0,011;0,004;0,001
Seasonal;Rainy;P1;10-20;37,86;5,05;290,5;2,64;2782,5;27,95;1069,385;55,94;19,7;0;21,25;0,012;0,000;0,074;0,000;0,000;0,016;0,896;0,005;0,000;0,004;0,017;0,076;0,128;0,231;0,004;0,036;0,000;0,007;0,015;0,003;0,045;0,001;0,000;0,007;0,002;0,091;0,002;0,005;0,003;0,001;0,033;0,059;0,020;0,000;0,019
Seasonal;Rainy;P2;10-20;33,82;4,69;310,5;2,64;2723;37,2;1069,385;55,93;10,25;0;18,65;0,000;0,001;0,241;0,011;0,000;0,022;0,726;0,006;0,000;0,001;0,011;0,063;0,134;0,192;0,007;0,024;0,000;0,006;0,006;0,005;0,054;0,001;0,000;0,006;0,001;0,111;0,000;0,008;0,002;0,000;0,045;0,037;0,013;0,001;0,008
Seasonal;Rainy;P3;10-20;33,5;5,65;271;3,7;3192;70,45;5108,415;55,81;17,85;4,76;16,2;0,005;0,018;0,411;0,025;0,000;0,005;0,537;0,023;0,004;0,024;0,025;0,033;0,107;0,223;0,003;0,019;0,001;0,023;0,009;0,002;0,045;0,005;0,005;0,016;0,003;0,130;0,007;0,005;0,000;0,000;0,025;0,082;0,010;0,003;0,014
Seasonal;Dry;P1;10-20;32,87;4,79;364;2,31;2352;25,5;1157,36;54,56;10,6;3,44;55,8;0,000;0,005;0,278;0,000;0,000;0,032;0,685;0,004;0,000;0,001;0,010;0,067;0,133;0,133;0,007;0,016;0,000;0,006;0,006;0,011;0,060;0,002;0,000;0,010;0,003;0,164;0,000;0,011;0,003;0,000;0,027;0,047;0,017;0,001;0,009
Seasonal;Dry;P2;10-20;32,58;5,65;325,5;2,3;2282;40,2;6126,97;55,78;18,4;4,69;11,95;0,002;0,009;0,251;0,008;0,000;0,021;0,707;0,006;0,004;0,004;0,018;0,038;0,098;0,242;0,006;0,037;0,000;0,024;0,012;0,002;0,070;0,003;0,001;0,016;0,003;0,059;0,002;0,015;0,002;0,000;0,044;0,079;0,015;0,003;0,019
Seasonal;Dry;P3;10-20;27,46;4,84;364;2,01;2254;23,3;1720,4;55,25;9,2;2,6;27,75;0,000;0,000;0,165;0,046;0,000;0,000;0,768;0,003;0,000;0,002;0,019;0,084;0,100;0,225;0,011;0,019;0,000;0,009;0,007;0,012;0,043;0,001;0,000;0,011;0,001;0,044;0,000;0,013;0,003;0,000;0,045;0,028;0,017;0,002;0,003
